row,col,type
11649,14073,5
11649,14116,5
11649,14117,5
11649,14119,5
11649,10024,5
11649,14342,5
11649,14349,5
11649,14406,5
11649,14408,5
11649,14504,5
11649,10412,5
11649,14598,5
11649,14599,5
11649,10620,5
11649,14859,5
11649,14918,5
11649,10887,5
11649,14975,5
11649,14977,5
11649,10964,5
11649,15061,5
11649,11069,5
11649,11227,5
11649,11311,5
11649,15334,5
11649,15376,5
11649,15377,5
11649,11438,5
7051,7505,5
7051,13064,5
7051,9805,5
7051,9806,5
7051,11274,5
11650,7061,5
11650,11711,5
11650,11899,5
11650,11960,5
11650,12373,5
11650,8328,5
11650,12567,5
11650,12711,5
11650,13241,5
11650,9105,5
11650,13416,5
11650,9508,5
11650,9864,5
11650,10024,5
